Unnamed: 0,ADA,BNB,BTC,DOGE,EOS,ETH,IOTA,LTC,NEO,VET,XLM,XMR,XRP,Publish Date,ada,bnb,btc,doge,eos,eth,ltc,miota,neo,vet,xlm,xmr,xrp
count,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,608.0,,,,,,,,,,,,,,
mean,71.8782894736842,91.41118421052632,418.67763157894734,1306.6134868421052,13.606907894736842,245.8634868421053,11.671052631578949,15.123355263157896,14.671052631578949,16.830592105263158,14.75657894736842,28.929276315789476,60.20888157894737,,,,,,,,,,,,,,
std,100.64473372900488,136.9680827426352,260.6950310272313,4040.6225710154313,7.574675028706788,196.23281431130115,10.073552444753162,16.34319673939915,11.012364664158268,19.60371610986166,14.155989859531104,17.662027459296603,133.08299965596325,,,,,,,,,,,,,,
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
25%,22.0,13.0,260.75,15.0,9.0,135.0,5.0,5.0,6.0,6.0,6.0,17.0,18.0,,,,,,,,,,,,,,
50%,32.0,25.0,326.5,22.0,13.0,178.0,9.0,9.0,12.5,10.0,10.0,24.0,28.0,,,,,,,,,,,,,,
75%,87.25,116.25,537.5,474.25,18.0,276.5,14.0,18.25,20.0,18.0,17.0,37.0,64.5,,,,,,,,,,,,,,
max,1166.0,811.0,2049.0,48493.0,63.0,1389.0,76.0,136.0,82.0,163.0,98.0,110.0,2759.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-11-16,,,,,,,,,,,,,
,,,,,,,,,,,,,,2019-11-17,22.0,4.0,254.0,12.0,11.0,47.0,8.0,7.0,2.0,18.0,11.0,18.0,14.0
,,,,,,,,,,,,,,2019-11-18,21.0,10.0,216.0,12.0,15.0,51.0,6.0,11.0,1.0,12.0,13.0,7.0,12.0
,,,,,,,,,,,,,,2019-11-19,23.0,8.0,254.0,13.0,32.0,88.0,10.0,4.0,12.0,16.0,16.0,15.0,16.0
,,,,,,,,,,,,,,2019-11-20,12.0,12.0,309.0,10.0,24.0,95.0,9.0,9.0,12.0,11.0,16.0,26.0,24.0
,,,,,,,,,,,,,,2019-11-21,16.0,14.0,294.0,9.0,21.0,108.0,7.0,4.0,7.0,18.0,11.0,32.0,22.0
,,,,,,,,,,,,,,2019-11-22,26.0,16.0,347.0,12.0,29.0,115.0,6.0,9.0,7.0,12.0,13.0,22.0,28.0
,,,,,,,,,,,,,,2019-11-23,15.0,25.0,328.0,13.0,20.0,70.0,9.0,10.0,7.0,6.0,16.0,26.0,18.0
,,,,,,,,,,,,,,2019-11-24,19.0,10.0,228.0,10.0,11.0,57.0,2.0,4.0,3.0,4.0,8.0,23.0,13.0
,,,,,,,,,,,,,,2019-11-25,13.0,12.0,219.0,13.0,10.0,49.0,9.0,8.0,6.0,7.0,4.0,25.0,9.0
,,,,,,,,,,,,,,2019-11-26,23.0,13.0,346.0,10.0,22.0,91.0,13.0,8.0,13.0,9.0,13.0,31.0,39.0
,,,,,,,,,,,,,,2019-11-27,20.0,14.0,280.0,14.0,16.0,105.0,4.0,14.0,4.0,11.0,7.0,29.0,31.0
,,,,,,,,,,,,,,2019-11-28,18.0,5.0,338.0,10.0,27.0,105.0,9.0,6.0,3.0,14.0,11.0,39.0,24.0
,,,,,,,,,,,,,,2019-11-29,24.0,14.0,264.0,13.0,29.0,75.0,7.0,5.0,7.0,10.0,13.0,20.0,23.0
,,,,,,,,,,,,,,2019-11-30,40.0,12.0,304.0,14.0,15.0,81.0,10.0,10.0,7.0,18.0,7.0,36.0,17.0
,,,,,,,,,,,,,,2019-12-01,22.0,6.0,201.0,5.0,21.0,62.0,7.0,5.0,3.0,7.0,8.0,38.0,16.0
